StudentID,RollNumber,Name,Gender,Age,Department,Year,Semester,Subjects,FatherName,MotherName,FatherOccupation,MotherOccupation,Siblings,Phone,Email,Address,City,State,Pincode,CGPA,Attendance,BloodGroup,Hobby,Club,CareerGoal,Hosteller,Scholarship,EmergencyContact
STU03555,2026EE3555,Baljiwan Chacko,Male,21,EE,2,3,Electromagnetics | Electrical Machines I | Signals & Systems | Power Electronics,Qarin Chacko,Arya Chacko,Lawyer,Police Officer,3,+91 6099779751,baljiwanchacko@college.edu,"H.No. 83, Banerjee Circle",Mira-Bhayandar,Uttar Pradesh,247134,9.36,90,A-,Coding,Photography Club,Pilot,Yes,Merit,+91 9676773600
STU02591,2026IIOT2591,Maanav Bhardwaj,Male,18,IIOT,4,8,Digital Twin Technology | IIoT Applications | Elective V | Capstone Project,Ekalinga Bhardwaj,Ekanta Bhardwaj,Farmer,Doctor,4,+91 8527806372,maanavbhardwaj@college.edu,"19/436
Bhatti Marg",North Dumdum,Sikkim,902259,9.41,95,AB+,Drawing,Coding Club,Software Engineer,No,SC,+91 9851722140
STU01033,2026DS1033,Zayyan Banerjee,Male,24,DS,2,3,Algorithms | Database Systems | Operating Systems | Probability & Statistics,Tarak Banerjee,Waida Banerjee,Lawyer,Teacher,2,+91 7751205287,zayyanbanerjee@college.edu,"081
Behl Path",Bongaigaon,Assam,242951,9.21,71,B-,Drawing,Photography Club,AI Engineer,No,OBC,+91 8329305510
STU01204,2026RE1204,Kritika Vala,Male,20,RE,3,6,Green Building Design | Hybrid Energy Systems | Elective III | Project II,Mason Vala,Charvi Vala,Government Employee,Farmer,2,+91 7459599472,kritikavala@college.edu,"979, Iyer Road",Hosur,Punjab,014896,5.95,65,A-,Robotics,Photography Club,Data Scientist,Yes,EWS,+91 6100401938
STU01802,2026ETC1802,Januja Narayan,Female,23,ETC,4,7,Optical Communication | Satellite Communication | Elective IV | Seminar,Christopher Narayan,Harinakshi Narayan,Farmer,Doctor,0,+91 9639358250,janujanarayan@college.edu,"H.No. 049
Mann Zila",Rajahmundry,Uttar Pradesh,368435,8.46,68,B+,Music,Robotics Club,Professor,No,EWS,+91 7636649303
STU02146,2026AIML2146,Diya Mukherjee,Female,18,AI/ML,1,2,Mathematics II | Data Structures | Digital Logic | Environmental Studies,Frederick Mukherjee,Ira Mukherjee,Lawyer,Doctor,1,+91 6436351786,diyamukherjee@college.edu,"H.No. 423
Saha Nagar",Panvel,Sikkim,195513,8.09,69,A+,Cricket,Photography Club,AI Engineer,Yes,OBC,+91 8882939406
STU01404,2026AIML1404,Frado Panchal,Female,20,AI/ML,1,2,Mathematics II | Data Structures | Digital Logic | Environmental Studies,Gabriel Panchal,Omya Panchal,Lawyer,Doctor,4,+91 8780899790,fradopanchal@college.edu,"66
Thaman Chowk",Nagpur,Himachal Pradesh,749209,9.23,95,AB+,Coding,Music Club,Professor,No,None,+91 7276588698
STU01991,2026AE1991,Om Mahal,Male,23,AE,1,1,Mathematics I | Physics | Engineering Mechanics | English Communication,Ansh Mahal,Siya Mahal,Police Officer,Doctor,0,+91 9868318108,ommahal@college.edu,"29/980, Jayaraman Ganj",Dehri,Jharkhand,159038,6.92,69,O+,Cricket,NSS,Pilot,No,OBC,+91 8895814631
STU02019,2026EE2019,Nathaniel Sanghvi,Female,20,EE,3,5,Power Systems I | Renewable Energy | Elective II | Project I,Pratyush Sanghvi,Pahal Sanghvi,Businessman,Engineer,1,+91 6833279190,nathanielsanghvi@college.edu,"40
Kaur Zila",Sultan Pur Majra,Uttarakhand,333943,9.44,67,A+,Gaming,Photography Club,Research Scientist,Yes,SC,+91 7737798716
STU03609,2026ME3609,Mugdha Soman,Female,18,ME,3,6,Robotics | CAD/CAM | Elective III | Project II,Neel Soman,Vedika Soman,Farmer,Doctor,0,+91 6661990109,mugdhasoman@college.edu,"45
Din Street",Ulhasnagar,Gujarat,246746,6.42,60,B+,Reading,NCC,Data Scientist,Yes,OBC,+91 8220940051
STU00478,2026DS0478,Jyoti Bandi,Male,24,DS,2,4,Computer Networks | Software Engineering | Elective I | Linear Algebra,Rohan Bandi,Jasmit Bandi,Businessman,Police Officer,2,+91 7464149862,jyotibandi@college.edu,"48/081, Merchant",Jalgaon,Sikkim,552822,8.21,98,O-,Cricket,Robotics Club,Software Engineer,No,SC,+91 9110709388
STU01791,2026AIML1791,Gaurangi Sarin,Male,18,AI/ML,1,1,Mathematics I | Physics | Programming Fundamentals | English Communication,Wyatt Sarin,Oeshi Sarin,Police Officer,Engineer,2,+91 6845953088,gaurangisarin@college.edu,"97/89
Aurora Circle",Gangtok,Telangana,686658,9.37,65,AB+,Robotics,NCC,Data Scientist,No,OBC,+91 9719198339
STU01439,2026AE1439,Wridesh Ravel,Male,19,AE,3,6,Space Engineering | Aircraft Design | Elective III | Project II,Theodore Ravel,Netra Ravel,Farmer,Teacher,3,+91 6409405469,wrideshravel@college.edu,"24/720
Magar Zila",Tiruppur,Andhra Pradesh,224196,8.45,82,B+,Coding,NCC,Robotics Engineer,Yes,EWS,+91 8100670708
STU01468,2026EC1468,Raghav Chaudhuri,Female,21,EC,4,8,5G Networks | IoT Communication | Elective V | Capstone Project,Gunbir Chaudhuri,Ridhi Chaudhuri,Lawyer,Police Officer,1,+91 8454400407,raghavchaudhuri@college.edu,"984
Deo Road",Gurgaon,Sikkim,211081,9.08,75,AB+,Football,Drama Club,Data Scientist,Yes,EWS,+91 9016336764
STU03359,2026EC3359,Qushi Varkey,Female,22,EC,1,1,Mathematics I | Physics | Programming Fundamentals | English Communication,Bakhshi Varkey,Janya Varkey,Businessman,Lawyer,3,+91 7606997906,qushivarkey@college.edu,"28/50, Bhatia Nagar",New Delhi,Goa,638932,6.79,78,AB-,Football,Photography Club,Professor,No,Merit,+91 6961117102
STU03446,2026IIOT3446,Wazir Sinha,Male,17,IIOT,2,4,Computer Networks | Embedded Systems | Control Systems | Elective I,Samesh Sinha,Vedika Sinha,Police Officer,Teacher,2,+91 9053874546,wazirsinha@college.edu,"10/904
Nazareth Ganj",Firozabad,West Bengal,405969,6.18,79,A+,Cricket,Sports Club,Robotics Engineer,Yes,OBC,+91 7729221250
STU00468,2026CS0468,Anika Thaman,Male,23,CS,3,5,Artificial Intelligence | Web Development | Compiler Design | Elective I,Rayaan Thaman,Jasmit Thaman,Police Officer,Lawyer,1,+91 7696550191,anikathaman@college.edu,"H.No. 75
Kant",Chandrapur,Arunachal Pradesh,117210,8.8,87,A+,Drawing,Music Club,Data Scientist,Yes,None,+91 7434076285
STU00555,2026CE0555,Farhan Menon,Female,20,CE,1,2,Mathematics II | Strength of Materials | Surveying | Environmental Studies,Samaksh Menon,Aradhana Menon,Government Employee,Government Employee,3,+91 7947874447,farhanmenon@college.edu,"514, Tandon Street",Rajpur Sonarpur,Karnataka,587176,9.07,90,A+,Photography,NSS,Robotics Engineer,Yes,EWS,+91 6765214894
